"","item_ID","tag_final"
"1",1,"negative affect"
"2",2,"positive affect"
"3",3,"psychosis;symptom"
"4",4,"negative affect"
"5",5,"negative affect;stress"
"6",6,"negative affect"
"7",7,"positive affect"
"8",8,"attention;cognition"
"9",9,"self-esteem"
"10",10,"identity"
"11",11,"identity"
"12",12,"identity"
"13",13,"social context"
"14",14,"appraisal"
"15",15,"appraisal"
"16",16,"appraisal"
"17",17,"appraisal"
"18",18,"social interaction"
"19",19,"appraisal;social support"
"20",20,"appraisal;social support"
"21",21,"appraisal;social support"
"22",22,"appraisal"
"23",23,"social context;social interaction"
"24",24,"appraisal;social interaction;activity"
"25",25,"appraisal;social support"
"26",26,"appraisal;social support"
"27",27,"appraisal;social support"
"28",28,"appraisal"
"29",29,"appraisal"
"30",30,"appraisal"
"31",31,"activity"
"32",32,"activity;appraisal"
"33",33,"appraisal;activity"
"34",34,"appraisal;activity"
"35",35,"appraisal;activity"
"36",36,"appraisal;activity"
"37",37,"location"
"38",38,"fatigue;physical health;negative affect"
"39",39,"physical health"
"40",40,"physical health"
"41",41,"physical health"
"42",42,"self-harm"
"43",43,"suicidality;self-harm"
"44",44,"self-harm"
"45",45,"substance use"
"46",46,"methodological"
"47",47,"pleasure"
"48",48,"pleasure"
"49",49,"positive affect"
"50",50,"negative affect"
"51",51,"negative affect"
"52",52,"positive affect"
"53",53,"negative affect"
"54",54,"negative affect"
"55",55,"negative affect;stress"
"56",56,"positive affect"
"57",57,"positive affect"
"58",58,"fatigue;negative affect"
"59",59,"physical health"
"60",60,"attention;cognition"
"61",61,"self-esteem"
"62",62,"rumination;worry"
"63",63,"appraisal"
"64",64,""
"65",65,"social context"
"66",66,"activity"
"67",67,"social interaction"
"68",68,"activity"
"69",69,"activity;event"
"70",70,"event;appraisal"
"71",71,"event;stress"
"72",72,"pleasure"
"73",73,"pleasure"
"74",74,""
"75",75,"sleep"
"76",76,"substance use"
"77",77,"substance use"
"78",78,"substance use"
"79",79,"substance use"
"80",80,"substance use"
"81",81,"methodological"
"82",82,"sleep"
"83",83,"positive affect"
"84",84,"negative affect"
"85",85,"anxiety;negative affect"
"86",86,"positive affect"
"87",87,"negative affect"
"88",88,"negative affect;stress"
"89",89,"positive affect"
"90",90,"self-esteem"
"91",91,"positive affect"
"92",92,"negative affect"
"93",93,"positive affect"
"94",94,"negative affect"
"95",95,"self-esteem"
"96",96,"positive affect"
"97",97,"rumination"
"98",98,"cognition"
"99",99,"activity"
"100",100,"activity;appraisal"
"101",101,"activity;appraisal"
"102",102,"activity;appraisal"
"103",103,"activity"
"104",104,"fatigue;negative affect"
"105",105,"physical health"
"106",106,"physical health"
"107",107,"location"
"108",108,"social context"
"109",109,"social context"
"110",110,"social interaction;activity"
"111",111,"appraisal"
"112",112,"appraisal"
"113",113,"appraisal;social support"
"114",114,"appraisal"
"115",115,"appraisal"
"116",116,"appraisal"
"117",117,"appraisal"
"118",118,"social interaction"
"119",119,"appraisal"
"120",120,"stress"
"121",121,"event;stress"
"122",122,"event;stress"
"123",123,"substance use"
"124",124,"methodological"
"125",125,"methodological"
"126",126,"positive affect;negative affect"
"127",127,"negative affect"
"128",128,"depression;negative affect"
"129",129,"anxiety;negative affect"
"130",130,"negative affect;stress"
"131",131,"positive affect"
"132",132,"positive affect"
"133",133,""
"134",134,"negative affect"
"135",135,"self-esteem"
"136",136,"social support"
"137",137,"self-harm"
"138",138,"self-harm"
"139",139,"emotion regulation;rumination"
"140",140,"emotion regulation"
"141",141,"appraisal"
"142",142,"appraisal"
"143",143,"appraisal;coping"
"144",144,"rumination"
"145",145,"attention;rumination"
"146",146,"rumination"
"147",147,"positive affect"
"148",148,"positive affect"
"149",149,"positive affect"
"150",150,"negative affect;stress"
"151",151,"negative affect"
"152",152,"anxiety;negative affect"
"153",153,"anxiety;negative affect"
"154",154,"negative affect"
"155",155,"negative affect"
"156",156,"stress;negative affect"
"157",157,"negative affect"
"158",158,"self-esteem"
"159",159,"appraisal"
"160",160,"stress"
"161",161,"physical health"
"162",162,"physical health"
"163",163,"fatigue;negative affect"
"164",164,"activity"
"165",165,"appraisal;activity"
"166",166,"activity;appraisal"
"167",167,"location"
"168",168,"social context"
"169",169,"appraisal"
"170",170,"appraisal"
"171",171,"appraisal"
"172",172,"appraisal"
"173",173,"appraisal"
"174",174,""
"175",175,"appraisal"
"176",176,"appraisal"
"177",177,"appraisal"
"178",178,"event;appraisal"
"179",179,"event"
"180",180,"event;appraisal"
"181",181,"event;stress"
"182",182,"event;stress"
"183",183,""
"184",184,"coping;rumination;emotion regulation"
"185",185,"coping;emotion regulation"
"186",186,"attention;cognition;coping;emotion regulation"
"187",187,"coping;emotion regulation"
"188",188,"coping;emotion regulation"
"189",189,"coping;emotion regulation"
"190",190,"coping;emotion regulation"
"191",191,"coping;rumination;emotion regulation"
"192",192,"coping;emotion regulation"
"193",193,"attention;cognition;coping;emotion regulation"
"194",194,"coping;emotion regulation"
"195",195,"coping;emotion regulation"
"196",196,"coping;emotion regulation"
"197",197,"coping;emotion regulation"
"198",198,"activity"
"199",199,"substance use"
"200",200,"methodological"
"201",201,"sleep"
"202",202,"sleep"
"203",203,"sleep"
"204",204,"sleep"
"205",205,"appraisal"
"206",206,"appraisal"
"207",207,"appraisal"
"208",208,"negative affect;stress"
"209",209,"depression;negative affect"
"210",210,"positive affect"
"211",211,"positive affect"
"212",212,"positive affect"
"213",213,"anxiety;negative affect"
"214",214,"negative affect"
"215",215,"symptom;appraisal"
"216",216,"symptom;appraisal"
"217",217,"symptom;appraisal"
"218",218,"symptom;self-harm"
"219",219,"depression;pleasure;symptom"
"220",220,"cognition;depression;symptom;attention"
"221",221,"depression;self-esteem;symptom"
"222",222,"depression;symptom"
"223",223,"avoidance;appraisal"
"224",224,"event"
"225",225,"event"
"226",226,"social context"
"227",227,"activity"
"228",228,"emotion regulation;rumination"
"229",229,"attention;emotion regulation"
"230",230,"emotion regulation"
"231",231,"emotion regulation"
"232",232,"arousal"
"233",233,"physical health"
"234",234,"physical health"
"235",235,"positive affect"
"236",236,"negative affect"
"237",237,"positive affect"
"238",238,"self-esteem"
